risk_type,clause,severity,recommendation
Unlimited Liability,Vendor shall be liable for any and all damages.,HIGH,Add a reasonable cap on liability.
Unlimited Liability,Supplier assumes responsibility for all losses arising from this agreement.,HIGH,Limit liability to direct damages only.
Unlimited Liability,Liability under this agreement shall be unlimited.,HIGH,Introduce a financial liability cap.
Unlimited Liability,Contractor shall bear all financial losses regardless of cause.,HIGH,Exclude indirect and consequential damages.
Unlimited Liability,Party agrees to compensate all damages without limitation.,HIGH,Restrict liability to foreseeable damages.
One Sided Termination,Company may terminate this agreement immediately without notice.,MEDIUM,Require notice and cure periods before termination.
One Sided Termination,Employer may end employment at any time without prior notice.,MEDIUM,Provide reasonable notice requirements.
One Sided Termination,Agreement may be terminated at the sole discretion of the company.,MEDIUM,Allow termination rights for both parties.
One Sided Termination,Service provider reserves the right to terminate services at any time.,MEDIUM,Include reciprocal termination provisions.
One Sided Termination,Company may cancel this agreement without cause.,MEDIUM,Require justified termination grounds.
Auto Renewal,This agreement shall automatically renew for successive one year terms.,MEDIUM,Require written renewal consent.
Auto Renewal,Contract automatically renews unless cancelled in writing.,MEDIUM,Add renewal reminder notice requirements.
Auto Renewal,Subscription shall renew annually by default.,MEDIUM,Require explicit customer approval before renewal.
Auto Renewal,Agreement renews automatically upon expiration.,MEDIUM,Allow opt-out before renewal.
Auto Renewal,Term shall automatically extend for an additional period.,MEDIUM,Add advance notification before extension.
Non Compete,Employee shall not engage in competing business for five years.,HIGH,Reduce duration and geographic scope.
Non Compete,Employee may not work for a competitor after termination.,HIGH,Limit restrictions to legitimate business interests.
Non Compete,Contractor agrees not to provide services to competitors.,HIGH,Narrow the restriction to specific competing activities.
Non Compete,Employee is restricted from similar businesses within the region.,MEDIUM,Define a reasonable geographic area.
Non Compete,Employee shall refrain from competitive activities for three years.,HIGH,Reduce restriction duration.
Broad Indemnity,Vendor shall indemnify and hold harmless the company from all claims.,HIGH,Limit indemnity to vendor negligence or misconduct.
Broad Indemnity,Supplier assumes all legal liabilities arising from performance.,HIGH,Restrict indemnity to defined risks.
Broad Indemnity,Contractor agrees to defend against all third party claims.,HIGH,Limit indemnity obligations to specific claim types.
Broad Indemnity,Party shall be responsible for all losses and liabilities.,HIGH,Define clear indemnity boundaries.
Broad Indemnity,Vendor shall cover all costs resulting from legal actions.,HIGH,Cap indemnification obligations.
Confidentiality Forever,Recipient shall maintain confidentiality indefinitely.,LOW,Limit confidentiality obligations to a defined period.
Confidentiality Forever,Confidentiality obligations survive forever.,LOW,Set a reasonable confidentiality survival period.
Confidentiality Forever,Information disclosed shall remain confidential permanently.,LOW,Define confidentiality duration.
Confidentiality Forever,Recipient agrees to perpetual confidentiality obligations.,LOW,Replace perpetual obligations with fixed-term obligations.
Confidentiality Forever,Confidential information shall never be disclosed at any time.,LOW,Allow confidentiality obligations to expire after a reasonable period.
Data Privacy Risk,Company may collect personal data without consent.,HIGH,Require explicit user consent before data collection.
Data Privacy Risk,User information may be shared with third parties without notice.,HIGH,Require transparency and consent for sharing.
Data Privacy Risk,Personal data may be retained indefinitely.,HIGH,Define a lawful data retention period.
Data Privacy Risk,Data processing may occur without user approval.,HIGH,Require documented lawful basis for processing.
Data Privacy Risk,User data may be transferred internationally without safeguards.,HIGH,Implement cross-border data transfer protections.
